   0.05000,   0.05000
 105.33508, 105.33508
   0.19147,   0.19147
   0.00000,   0.00000
   3.83053,   0.25443
   3.77932,   0.27869
   3.74561,   0.27366
   3.71610,   0.25902
   3.68976,   0.23847
   3.66706,   0.20109
   3.64679,   0.15934
   3.62711,   0.13180
   3.60920,   0.12918
   3.59305,   0.13945
   3.57878,   0.15825
   3.56612,   0.17902
   3.55469,   0.20896
   3.54395,   0.25180
   3.53248,   0.31454
   3.52214,   0.39432
   3.51299,   0.49137
   3.50414,   0.57464
   3.49578,   0.59913
   3.48812,   0.61049
   3.48103,   0.61749
   3.47447,   0.62317
   3.46839,   0.62579
   3.46274,   0.62907
   3.45750,   0.63301
   3.45262,   0.63607
   3.44805,   0.63978
   3.44378,   0.64328
   3.43976,   0.64787
   3.43598,   0.65224
   3.43241,   0.65530
   3.42903,   0.65770
   3.42582,   0.66098
   3.42277,   0.66295
   3.41987,   0.66667
   3.41710,   0.66863
   3.41446,   0.66995
   3.41192,   0.67213
   3.40950,   0.67475
   3.40717,   0.67847
   3.40493,   0.68044
   3.40278,   0.68109
   3.40071,   0.68240
   3.39871,   0.68459
   3.39677,   0.68721
   3.39491,   0.68809
   3.39311,   0.69049
   3.39136,   0.69202
   3.38967,   0.69311
   3.38803,   0.69399
