   2.00000,   2.00000,   3.00000,   3.00000,   4.00000,   4.00000,   5.00000,   5.00000,   6.00000,   6.00000,   8.00000,   8.00000,  11.00000,  11.00000,  16.00000,  16.00000,  21.00000,  21.00000,  26.00000,  26.00000,  31.00000,  31.00000,  41.00000,  41.00000,  51.00000,  51.00000
 107.29205, 107.29205, 106.71308, 106.71308, 106.50834, 106.50834, 105.83838, 105.83838, 106.12313, 106.12313, 106.21181, 106.21181, 106.08677, 106.08677, 107.15318, 107.15318, 107.96277, 107.96277, 108.59069, 108.59069, 108.84924, 108.84924, 109.63206, 109.63206, 110.51192, 110.51192
   0.19601,   0.19601,   0.19300,   0.19300,   0.19202,   0.19202,   0.19392,   0.19392,   0.19620,   0.19620,   0.18949,   0.18949,   0.19348,   0.19348,   0.19549,   0.19549,   0.19049,   0.19049,   0.19744,   0.19744,   0.19955,   0.19955,   0.19448,   0.19448,   0.20146,   0.20146
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   3.55291,   0.26208,   3.69899,   0.14120,   3.73565,   0.22492,   3.77052,   0.24503,   3.80525,   0.10863,   3.88322,   0.12262,   3.91882,   0.21792,   3.95464,   0.08372,   3.99441,   0.06798,   3.92025,   0.15475,   3.95828,   0.07257,   3.98781,   0.07978,   3.96135,   0.13727
   3.41441,   0.39607,   3.55821,   0.32787,   3.57528,   0.35913,   3.68447,   0.32328,   3.67136,   0.33443,   3.72191,   0.18317,   3.85190,   0.27060,   3.87786,   0.09355,   3.88621,   0.14230,   3.95658,   0.11257,   3.88086,   0.10557,   3.92712,   0.12240,   3.89216,   0.08197
   3.29531,   0.43585,   3.46582,   0.35738,   3.57556,   0.37268,   3.56800,   0.34098,   3.60206,   0.37508,   3.64961,   0.26820,   3.76897,   0.08787,   3.76220,   0.15934,   3.85489,   0.06710,   3.81962,   0.08219,   3.87484,   0.11497,   3.85948,   0.08219,   3.83319,   0.12962
   3.22973,   0.47672,   3.39638,   0.40437,   3.47122,   0.40066,   3.51699,   0.38863,   3.53211,   0.39934,   3.62986,   0.29858,   3.62418,   0.34951,   3.70781,   0.06907,   3.72218,   0.13596,   3.77360,   0.13071,   3.77057,   0.09224,   3.74912,   0.20306,   3.80830,   0.08197
   3.16807,   0.51869,   3.34584,   0.41989,   3.40485,   0.38732,   3.44960,   0.42951,   3.48522,   0.45115,   3.54122,   0.33727,   3.59410,   0.39104,   3.69815,   0.20699,   3.69852,   0.13770,   3.73046,   0.14033,   3.91961,   0.08197,   3.76507,   0.10536,   3.77896,   0.08197
   3.11559,   0.55825,   3.29449,   0.44962,   3.35166,   0.46885,   3.40966,   0.46514,   3.45088,   0.43454,   3.47335,   0.34710,   3.56245,   0.32328,   3.59981,   0.25923,   3.67581,   0.14754,   3.68426,   0.14842,   3.60769,   0.13945,   3.66381,   0.14142,   3.75639,   0.08197
